question, answer
"What ML Algorithm has data cientistgs offer algorithms with branded and distinct training data to evaluate for correlations?", Supervised Machine Learning
"What ML Algorithm is a technique that trains on unlabeled data by scanning new data and establishing significant links between the inputs and predetermined outputs?", Unsupervised Machine Learning
"What ML Algorithm comibines supervised and unsupervised learning by leveraging a small amount of labeled data and a large amount of unlabeled data to train systems?", Semi-supervised Machine Learning
"What ML Algorithm is a technique that associates reward values with different steps that the algorithm must follow?", Reinforcement Machine Learning
"What Amazone service allows customers to build, train, and deploy machin e learning models for any use case with fully managed infrastructure, tools, and workflows?", Amazon SageMaker
"What is a fully managed aritifical intelligence service with cutting-edge natural language models for designing, constructing, testing, and releasing conversational interfaces in applications and mobile apps?", Amazon Lex
"What can you use to rapidly construct secure, generative AI-poweredconversational experiences for users on top of enterprise content?", Amazon Kendra
What four factors impact region selection?, "Governance, Latency, Service availability, Cost"
What are the thre responsibilities of an AWS architect?, "Plan, Research, Build"
"What is a serverless, interactive analytics solution built on open source frameworks that supports open-table and file formats?", Amazon Athena
"What service allows you to easily collect, process, and analyze video and data streams in real time?", Amazon Kinesis
"What are the use cases for Amazon Kinesis?", "Build video analytics applications, Evolve from batch to real-time analytics, Build real-time applications, Analyze IoT device data"
"What is a serverless data integration serice that makes it easier to discover, prepare, move, and integrat data from multiple sources?", AWS Glue
"What service powers data-driven organizations with unified business intelligenc (BI) at hyperscale?", Amazon QuickSight
"What are the four benefits of Amazon QuickSight?", "Meet the needs of your users from the same source of truth, Speed up development, Automatically scale, pay-as-you-go"
"What is the industry-leading, cloud big data solution for petabyte-scale data processing, interactive analytics, and machine learning?", Amazon EMR 
"What service is a severless, interactive analytics solution built on open-source frameworks that delivers a flexible and easy way to analyze petabytes of data right where it resides?", Amazon Athena
"Which solution is a fully managed AI service iwth cutting-edge natural language models for designing, constructing, testing, and releasing conversational interfaces and chatbots?", Amazon Lex
"What managed AWS service is used to generate intelligent search for websites and applications powered by ML?", Amazon Kendra
"What is a solution for event-driven applications at sacale across AWS, existing systems, or integrated SaaS applications?", Amazon EventBridge
What two servcices assiste in the decoupling of monolitic applications?, "Amazon Simple Notification Service (SNS), and Amazon Simple Queue Service (SQS)"
What service allows customers to roll out a contact centere in minutes that is scalable to millions of customers?, Amazon Connect
What servcie lets AWS customers reach their customers assertively ithout an on-premise simple mail transfer protocol email server?, Amazon Simple Email Service (Amazon SES)
"What service offers eligible startup organizations free tools, resources, and content meant to streamline every phase of the startup initiative?", "AWS Activate for Startups"
"What enables customers to quicly find, aengage, and pay AWS Certified third-party experts for on-demand project work?", AWS IQ
"What is a secure, scalable, and cost-effectivepackage management service for software development?", AWS CodeArtifact
"What is a service that lets you build and test code in a scalable way?", AWS CodeBuild
"What service allows you to securely host highly scalable private git repositories and collaborate on code?", AWS CodeCommit
"What service allowsy ou to automate and deploy application code to maintain uptime?", AWS CodeDeploy
What service allows you to automate CI/CD pipelines for fast and reliable updates?, AWS CodePipeline
What service allows you to analyze and debug production and distributed applications?, AWS X-Ray 
"What feature of AWS Systems Manager enables customers to generage, manage, and rapidly install applicaiton configurations?", AWS AppConfig
"What is a cloud-based integrated development environment (IDE) that enables DevOps professionals to construct, run, and debug the cod with ounly a browser?", AWS Cloud9
"What enables developers to control, discover, and interact with AWS Resources directly from a browser?", AWS CloudShell
"What is a secure, reliable, and scalable service that lets you access applications and non-persistent desktops from any location?", Amazon AppStream 2.0
What are four of the use cases for Amazon AppStream 2.0?, "Launch SaaS for software vendors, Empower contect centere agents to work from anywhere, Support students to learn in virtual classrooms, and Access to 3D design and engineering applications"
"What service provides a secure, managed Desktop-as-a-Service (DaaS) to your end users?", AMazon WorkSpaces 
"What is a total solution that enables frontend web and mob9ile developers to reapidly and seamlessly build, deploy, and host full stack applications on AWS?", AWS Amplify
"What service generates serverless GraphQL and pub/sub APIs that make application development easy?", AWS AppSync
"What service lets you easily and securely connect devices to the cloud?", AWS IoT Core 
"What is an open-source edge runtime and cloud service for building, deploying, managing device software", AWS IoT Greengrass
What is a template that contains software configuration required to launch an EC2 instance?, Amazon Machin Image (AMI)
How is data trasfer from AWS to the internet charged?, "It is charged per service, with rates specific to the initiating region"
"If an internt gateway is used to access the public endpoint of the AWS serfices in the same region, are there data transfer charges?", No
"What type of instance offers a substantial discount (up to 72%) when compared to ON-Demand pricing?", EC2 Reserved Instances (RIs)
Which feature of an AWS Organization allows administrators to place guardrails on highly privileged principals with "Deny" statements in JSON-managed seruicty polcies?, SCP
Which AWS tool includes all costs for each billing period including both tagged and untagged resources so that customers can easily organize their charges for AWS resources?, Cost Allocation Report
"Which AWS service has article posts that are fully categorized and subdivided by learning level, industry, and product or solution?", AWS Blogs
